lat,lon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.5,77.5,197,0,0,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,4.5,0,0.3,0.6,0,0.6,0.9,0,0,0,0,0,0,0,13.4,0,0.8,0.9,0,2.4,13.2,15.3,23.6,11.8,14.4,2,0,0,2.4,1.3,11.5,14.5,11.9,8.8,28.9,38,18.9,5.9,0,0,0,0.6,6.8,19.3,4.8,2,3.6,28.3,59,35.4,12.9,9.3,14.7,14.7,0,0,18.4,9.6,17.4,4.6,4.4,7.5,6.2,3.1,6.7,24.6,44,4.3,0,0,8.8,25.1,2.4,12.5,5.5,18.8,24.4,6.1,0,0,33.9,8.9,3.7,13.8,5.8,1.6,23.9,52.1,16.6,5.3,5.6,1,0,0.4,16.4,18.7,21.6,35.7,1.5,0.2,0,0.5,0,0,2,0,0,0,19.2,40.7,49.2,26.8,18.8,0,0.3,11.3,0,0,6.4,0,0,1.3,1.9,0,0,0,0.6,16.8,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.5,77.5,198,7.6,12.2,0.7,0.6,0,0,4.2,1.6,6.3,1.6,9.9,0,0,8,4.9,13.4,0.2,0,0,0.5,0.2,0,5.5,1,0.4,10.9,12.5,8.6,5.9,12.9,0,1.7,4.7,0,0,5.4,0.2,0,0.4,0,0,0,0,0,0,0.2,0,0,5.6,0.3,0,0,0,0,1.9,0.1,3.4,9.2,7.1,3.4,12.4,12.1,9,0,0,0,0,2.5,1.8,2.1,9,3.8,3.6,0,0,0,0,0,0,0,1.7,1.9,0,0,0,0,9.4,19.6,0,0.5,10.4,58.5,8.7,0,0,0,0.4,1.7,8.5,4.3,3.8,0,0,0,0,0.5,0,0,1.5,4.6,0,6,4.2,2.1,0,0.5,1.5,1.9,10.4,4.4,0,0,2.2,2.2,1,0,3.8,0.2,1.9,4.6,0,3,1.7,35.3,17.8,9,0,0,0,0,0,0,0,0,0,2.7,6,7.2,10.9,40.4,17.5,0,0,0,0,5.5,7.7,0,0,0,0,0,0,0,0,0,2.7,0.7,0.5,0,0.4,0.2,0,0,0.1,0,0,1,0.8,4.7,2.4,5.5,0.3,0.1,0,4.2,1.5,2.3,2.1,2.4,2.4,3,4.2,7.6,6.8,19.7,38.1,27.8,31.1,5.9,4.2,0.7,1.1,2.6,19.9,17.6,16.5,9.5,6.5,11.2,13.8,5.6,2.1,3.8,3.4,5.9,15.4,11,14.2,5,1.8,5.9,3.1,1.3,2.5,1.3,2.6,0,0,0,0.5,0,6.8,7.7,2.7,1.7,0.6,0.4,0.5,0,2.4,4.8,9.2,19.6,22.5,14.5,7.2,0.4,0.6,4.3,3,4.7,13.6,14.1,0,20.7,3.1,1.2,3.1,0.4,0,0,1.4,6.9,2.5,9.2,1.8,8.1,28.9,33.4,33.7,25.9,29,42.7,23.3,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,9.8,13.9,0,1.9,6.8,15.4,9.5,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.6,11.1,31.2,15.7,1.1,0,0,2.2,5.4,37.9,9.4,0,0,0,9.6,22.3,6.2,0,0,0
34.5,77.5,199,5,7,0.5,0.3,0,0,3,0.9,3.8,0.9,5.9,0,0,4.4,5.3,8.5,0.4,0,0,0.4,0.1,0.3,6,0.7,0.2,6.9,8.8,6,4.2,8.8,0,0.9,3.2,0,0,6.6,0.4,0,0.2,0,0,0,0,0,0,0.1,0,0,3.2,0.2,0.1,0,0,0,1,0,2.1,5.2,6.5,3.2,8.1,10.1,10.6,0,0,0,0,2.2,1.1,1.4,10.8,2.2,2.6,0.2,0,0,0,0,0,0,0.9,1,0,0,0,0,5.6,13.9,1.2,0.3,6.3,37.9,8.8,0,0,0,0.2,1.7,5.7,2.5,2.2,0,0,0,0,0.4,0,0,0.7,3.4,1,3.5,2.5,1.2,0,0.5,1.1,1,6.3,2.6,0.2,0.6,1.1,1.1,0.6,0,2.6,0.1,1.3,3.4,0,1.7,1.2,25.7,11,5.1,0,0,0.1,0,0,0,0,0,0,1.4,3.1,4.7,6.6,28.1,10.2,0,0,0,0,3.3,6,0,0,0,0,0,0,0.2,0,0,1.4,0.4,0.3,0,0.2,0.1,0,0,1.1,0.1,0,22.4,4,2.4,1.2,6.1,2,0.8,0.7,11,2,1.2,7.9,3.7,10.4,3.3,36.5,4.9,5.5,36.8,26.5,31.4,27.8,2.9,3.2,14.7,0.7,8.1,29.4,26.2,30.9,15.2,4.5,6.9,13.3,8.9,3.1,30.9,37,16.4,20.7,67.9,17.2,12.4,12,20.2,2.5,2,11.7,0.7,1.3,0,0,0,3.9,1.7,28.7,10.3,9.1,2,1,0.6,5.1,0,1.5,3.2,5.3,14.1,16.7,20.5,22.6,0.2,1.1,5.2,4.2,9.9,12.7,11.7,0.2,11,11.8,1.2,10.8,3.9,0,0,2.1,9.5,10.2,5.6,1.4,5.2,26.6,29.1,31,35.9,22.5,39.2,20.8,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,10.2,9.5,0,1,3.7,10.2,5.8,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1,8.7,36.2,13.5,0.6,0,0,1.1,3.4,31.7,19.1,1,0,0,5.8,17.7,6.1,0,0,0
35.5,77.5,200,3.1,4,0.3,0.2,0,0,2,0.5,2.3,0.5,3.4,0,0,2.4,5,5.2,0.4,0,0,0.2,0,0.6,4.6,0.5,0.1,4.1,5.7,3.9,2.8,5.6,0,0.4,2.1,0,0,8.2,0.3,0,0.1,0,0,0,0,0,0,0,0,0,1.8,0,0.2,0,0,0,0.5,0,1.2,2.9,5,2.4,5,8.7,11.5,0,0,0,0,1.9,0.6,0.9,11.1,1.2,1.7,0.2,0,0,0,0,0,0,0.4,0.5,0,0,0,0,3.3,9.2,1.7,0.2,3.8,23.7,7,0,0,0,0.1,1.8,3.7,1.4,1.3,0,0,0,0,0.2,0,0,0.4,2.2,1,2,1.4,0.7,0,0.4,0.7,0.5,3.7,1.6,0.2,0.6,0.6,0.6,0.4,0,1.6,0,0.8,2.3,0,1,0.8,16.8,6.5,2.9,0,0,0.1,0,0,0,0,0,0,0.8,1.6,2.9,4.1,18,5.9,0,0,0,0,1.9,4.1,0,0,0,0,0,0,0.4,0,0,0.7,0.2,0.2,0,0.1,0,0,0,1.1,0.1,0,38.2,4.7,1.3,0.6,7.5,1.9,0.8,0.7,11.3,1.8,0.7,8.6,3.4,10.9,3.5,52.8,3.1,3.8,40.2,17,33.1,23,1.5,2.2,20.9,0.5,10.1,26.1,21.8,34.9,13.3,2.9,4.1,9.8,9.6,2.8,40.4,60.9,24.5,24.9,98.8,17.6,16.4,11.5,25.2,1.8,1.7,19.5,0.3,0.7,0,0,0,3.8,1.9,44.4,8.8,8.9,2.4,0.9,0.5,4.9,0,0.9,2,3,9.2,11.5,23.8,34.5,0.1,0.9,5.8,4.5,13.7,10.1,10.3,2.8,9.5,17.6,1.6,17.4,4.3,0,0,1.8,7.7,9.6,3.3,0.9,3.5,19.6,25.2,28.2,46.5,15.3,36,16.3,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,7.7,7.4,0,0.5,2,6.4,3.4,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,6.6,37.1,11.3,0.3,0,0,0.6,2.1,24.5,24.6,1.7,0,0,3.4,12.2,5.3,0,0,0
8.5,78.5,201,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.7,0,0,0,6.6,23.4,31,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0.3,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0.4,0,3.7,2.5,4.9,0,0,0,0,0,0,0,0,3.1,4,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0.2,0,1.8,1.2,12.7,0,0,0,3.7,0.9,1.4,0,2,0,5.2,0,0.2,0.6,3.5,10.5,0,3.5,1.3,9.1,0.7,1.5,0,0,0,5,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.6,0,0.2,0,0,0,0,0,0,0,0,0.6,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,5.4,10.6,0,1.6,14.2,0,0,0,3.5,1.2,3.7,0,0,0,0,3.1,1.8,0,0,0,0,0,0,0.1,1.3,3.8,8.1,9.9,17.5,5.2,1.3,0,3.4,1.1,0,3.7,10.7,19.7,7.5,9.2,5.3,0,3.1,0,0,0.8,2.4,0,0,0,0,0,4.2,0.2,16,23,0,0,8.7,2.1,16.5,9.8,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5,78.5,202,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,22.1,0.9,0,0,0,0,0,0,0,7,2.6,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0.3,1.4,4.6,4.6,0.6,0,0,0,0,20.2,0.3,2.3,0,1.3,0,0,0,14.5,0,9.2,2.6,1.2,0.8,15.4,3.9,1.5,0,0,0,19.4,7.7,0,0,2,14.8,0.4,0,0,1.1,0.5,0,12.6,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,15,9.3,4.1,0,4.2,7.1,0.2,10,0,0,1.8,1.7,0,0,0.5,2,7.6,6.5,3.3,2.1,0,0,0.3,8.9,1.1,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.3,6.7,2.3,0,0,0,0.6,0,0,0,0,0,8.9,0,9.2,0,0,4.7,0,3.5,5.2,3.2,0.9,2.5,36.3,3.6,0.6,3.8,4.8,0,0,0,4.1,0,0,0,0,0,0,4,5.7,23.6,8.2,0.2,0,20.7,20.4,1.4,0,0,0,0,5.9,0,0,6.5,1.2,0,0,0,0,13.1,7.1,8,0.5,12,0,0,1.9,11.6,0,0,0,0,0,0.3,2.1,3.9,0.6,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,78.5,203,0.7,1.4,4,2.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,1.8,0,0,0,0,0,0,0,4.2,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.1,13.5,13,0,0,0,0,1,7.8,3.8,0,0,0,0,0,0,3,7.5,0.4,0.2,9.2,0,12.4,16.8,31.2,8,3,0.9,0.3,3.7,0.5,6.8,3,1.1,5.7,0,0,0,0,6.9,2,0,0,2.5,0.2,13,4.3,0,3,0,0,9.5,0.4,0,1,4.7,2.9,0,0,0,0,6.2,0,1.3,4.2,1.2,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,4,3.8,8.5,42.2,14,0.3,3,7.5,0.3,0,0.4,0.6,2.3,0,0,7.6,3,0.9,0.3,0,0,0,0,1.3,0,0.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,18.7,2.5,0,5.3,11.4,1.1,10.6,3.8,0.3,3,0,3.8,14.5,0,0,0,0,4.8,13.4,0,2.6,3.5,0,1,4.1,20.9,6.7,12.4,4.7,3.8,3.7,1.8,0.3,0,0.3,0,0.9,6.2,3.9,2.4,4.6,0,4.3,0.6,0.4,0,0,21.4,57.5,0,37.9,0,0,0,0,0,0,0,0,0,0,0,0,1.2,8.6,31.6,18,20.8,0,0.3,1.9,3.4,0.4,2,8,0,0.7,0,0,6.5,14.2,3.4,0,0,0,0,0,0,0,0,0,0,0,2.4,2.9,3.8,0,0,0,0,0,0,0,0,0,0,0
11.5,78.5,204,0,7,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,1.8,17.6,0,0,0,0,0,2.6,0,0,0,15.3,0.1,0.6,0.4,0,0,0,0,0.7,0.1,2.1,7.1,43,0,0,0,0,3,0,2.7,1.9,15,0.9,0.9,7.9,0,0,2.1,0,0.1,0,5.2,4.2,2.7,0,1,0,0,1.7,7.9,0,0,0,0,0,0,0,0.2,1,0.2,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,3,1.2,5.7,0,0,0,0,0,0,0,5.3,1.8,0,0,0,0.5,6.3,0.9,1.9,0,0,0,0,0,0.2,0,1.7,0,0,0,0,0,5.6,3.8,11.7,8.5,11.5,39.4,4.4,8.9,15.2,0,0,6.1,1.7,0,0,0,0.9,3.9,5.1,3.9,1.3,15.8,2,1.6,4.8,0,0,3.8,1.4,0,0,0,0,0,0,0.1,2.9,0,0,0,0,0,0,0,6.4,7.3,6.8,3.6,33.5,18.4,6.6,0.6,0,17.5,17.9,0,0,0,0,0,0,5,0,0,0,6.5,32.5,0,0,0,0.4,0,0,0,0.3,10.5,6.6,0,0,0.5,0,0,0.3,0,14.4,21.3,0.7,5.2,0,1.2,3.2,0,0,2,5.3,0,0,0,0.5,0,0,0,0,0,4.2,1.2,0,0,0,1.5,9.6,35,0.4,1.4,10.4,0,5.2,0,0,0.2,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0
12.5,78.5,205,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,4.1,6.3,0,0,0,0,0,0,1,0,0,13,8.1,0,0,2.3,2.3,0,0,0.3,0,0,0,0.2,0,0,0,0,0.5,0.3,0.5,0.2,0.9,0,1.5,6,12.5,0,0,0,0,17,0,3.9,63.5,0,0,0.7,1.2,0,2.1,3.2,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2.1,2.3,3.1,5.3,1.1,0,0,0,8.7,0,0,0.6,1.9,0,0,0.4,0,0,1.3,1,0,0,1.5,0,0,0,0,0,0,0,0,0,5.9,5.7,42.3,5.5,3.1,42,3.6,0.3,1.9,3.6,0.4,0,2.4,11.3,1.3,0.4,0,0,0,4.7,13.9,1.4,0,1.2,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,7.8,41.1,18,31.6,12.4,28.5,5.9,70.8,1.8,0.4,0,0,0,0,2.4,0,0,0,0.9,0,4,53.1,19,0.3,1.5,3.1,0,0,2.5,2.4,0,1,27,6.5,0.9,0,0,0,0,0,0,0.1,0,0.9,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.2,3.7,46.4,10.5,0.1,0.7,0,0,9.8,0.3,0,0,0,0,0,0.5,1.8,0,0,0.6,0.1,0.1,0,1.6,0,0.8,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.5,78.5,206,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,27,1.9,0,0,0,0,12.7,0,0,0,0,7.7,0,0,0.4,0,0,0,4.1,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,0,0,0,9.4,8.5,8.8,16.5,0,3,3.3,72.2,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,2.8,0,0,0,1.4,0,0.6,0,0.4,0.7,0,0,0.7,0,0,0,0,2.5,0,0,0,0.7,0.5,0.2,3.2,4.7,1,0,2.5,2.6,0.3,0,0,0,1.1,2.1,29.2,64.2,0,0,1.2,4,0,1.2,3.7,0,3.4,0.2,6.1,0.1,0.4,0,0.4,1.7,23.2,15.5,12,0.8,2.2,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,2.4,0,0,0,0,0,52.9,0.1,5.9,0,44.6,7.5,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,51.4,60,0.2,0.5,0,0,0,0,25.6,0.7,10.2,9,4.6,0.7,0.4,0.4,0,0,0,0,0,0,0,0,1.7,0,0,0,0.5,2.5,0,0,0,0,0,0,0,0,0,0,5.7,1.6,0,0,1.4,38.2,17.1,8.9,0,4,0,0,0,0,0,0,0,1.1,6.7,7,0,0,0,2.2,0,0,0,0.4,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.5,78.5,207,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,1.9,4.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0.1,2.9,0,0,0,0,0,0,0,2.5,0,0,0,6.7,0,0,0.4,2,0,0,0,0.4,0.6,1.6,0,0.4,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0.9,7.8,0,0.2,1.6,0,1.6,24.5,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2.8,1,0,0,0,0,0.7,0,0,0,0.6,0,7.3,0.5,4.3,12.8,2.1,0.8,0.2,10.2,8.1,1.2,0,0,0,0,0.2,4.9,0.3,1.1,0,0.7,1,0,0,1.5,0,0,0,0,0,0,0.2,0.7,0.2,0,8.1,26.3,0.2,45.2,18.8,58.9,0.2,0,3.3,3.2,0.9,21.3,20.8,7.1,4.1,0,1.3,15.4,20.9,34.3,0,0,0,0.9,18.2,0.6,0,0,0,0,0,0,0,0,0.4,5.5,0,0,2.6,2.6,0,0,0,0,1.6,54.1,0.3,0,0.9,16.6,12.5,0,0,0,0,0,0,0,4.9,15.5,0,0,0,0,3.7,17.1,153,2.2,3.7,0,0,0,0,6.3,1.1,16.3,5.1,12.5,13.1,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0.9,0,0,0,0,0,0,0,0,0.6,4.9,2.8,3,0,0,0.6,31.5,17.8,0.3,2.6,6.1,0,0,0,0,0,0,1.7,0.1,5.9,0.4,0,0,0,0,0,0,0,0,0,3.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.5,78.5,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,5.3,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,9.7,0,0,0,0,0,11.2,0,0,0,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,2,0,20.3,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,5.6,12.7,11.9,24.1,3.1,3.8,4.3,30.2,10.4,0,0,0,0,0,36.1,3.6,2.3,0,3.3,0,0,5.6,0,4.3,0,0,0,0,0,2,0,0,0,10.2,19.3,0,0,0,0,0,0,10.7,0,21.1,42.4,18.3,23.4,5.3,5.3,0,33,15.7,22.6,3.1,0,0,0,9.4,20.1,0,0,1.3,0,0,0,0,0,0,11.2,0,0,0,0,0,0,0,10.4,0,11.7,46.7,0,0,0,0,16.8,0,0,0,0,0,0,32.5,18.3,0,0,0,0,0,0,7.6,0,13.2,0,0,0,0,0,0,7.4,5.6,21.8,15.7,0,0,0,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0.5,2.5,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.5,78.5,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0.5,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.2,0,0,7.5,0,0,2.3,0,2.2,3.6,0,0,0.2,13.6,14,8.1,4,9.5,5.9,1.1,34.2,9.4,0.1,4.2,0.3,0.5,5.5,2.6,8.2,5,1,4.5,0.9,4.5,2.9,5.9,0.3,0,0,0.8,1.9,14.6,1.8,0,0.9,12.8,2.1,1.4,4.9,0,0,4.2,0,0.2,20.4,0,51.6,4.7,0.4,13.4,8.6,7.6,0,0,10.7,10.9,1.4,0,1.3,8.3,6.4,6.1,1.4,13.4,8,0.5,2.7,0,0,0,3.7,2.2,12.4,0.3,4.9,0,0,0,0,0.3,3.2,0.9,0,0.9,6.7,3.8,0,2.4,1.6,15.4,2.3,0,0,0,36.3,0.5,0,0,1,0,2.1,2.5,14.6,2.9,6,0,0,0,16,0,0,0,2.2,3.6,11,0,0,0,0,7,0,0,0,0,0,0,0,0,2.4,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,6.2,0.6,7.5,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.5,78.5,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,1.6,0,0,0.1,0,0,0,0,0,0,0,0,0.4,0,0.4,5.1,0,0,0,0,0,0,0,0,2.4,0,0,0.3,0.4,0,0,0,0,0,0,0,0,0.4,0,0,0,3.3,2,8,0.7,0,0,0,0,0,0,1.4,1,0,0,0,0,0,0,0,0,44.2,0,0,0,0,2.2,0,2,0,0,0,0,1,0,0,0,8.4,0,0,0,0,0,2.9,0,0,0,9.5,0.2,1.1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,4.7,0,0,2.6,2,3.3,8.5,5.9,14.4,1.7,4.4,26.2,0,0,1.7,3.9,16.4,3.9,37,28.6,20.9,32.3,15.9,6.4,1.6,2.4,0.1,4.4,19.3,2.3,2.5,1.6,8,0.1,0,4.3,37.9,3.3,0,0,1.4,1.4,3.4,0.1,11.2,11.6,0,4,19.7,0.1,0.4,0,9.8,14.9,0,5.3,4.6,4.3,2.2,5.8,3,8.3,29,6,2.8,3.7,28.3,9.4,3.7,1.9,8.2,10.4,9.4,11.7,13.3,12.3,1,0.6,0.4,0,0,5,3.4,0.9,3.7,1.2,16.4,0,0.4,2.4,0,0.4,3.7,0.9,46.5,0,1.2,0,0.5,0.4,7.7,10,3.2,0,0.2,0.7,0.7,0,0.2,4.5,0,0,0,0,2.1,19.5,12.4,0,0,0,31.8,0,0.3,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0.1,0.6,10.5,15.4,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
